method,ansatz,L,N,U,beta,pbc,mean_energy,sem_energy,mean_kinetic,sem_kinetic,mean_potential,sem_potential,source
QMC,QMC,12,12,0.0,12.0,True,-24.018861958332668,0.03239410259120214,-24.018861958332668,0.03239410259120214,0.0,0.0,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_0.000U_12.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_0.000U_12.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,0.0,,True,-24.0,0.0,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,1.0,12.0,True,-19.664987079166753,0.02897492137389227,-23.433289979166748,0.025575916528101917,3.7683029,0.012398278898142705,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_1.000U_12.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_1.000U_12.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,1.0,,True,-19.60830945834741,0.0001450158080680438,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,2.0,12.0,True,-16.220866395833614,0.028338621950796422,-22.381405895833613,0.023255125166672795,6.1605395,0.020366062966921544,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_2.000U_12.00beta_200bins100000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_2.000U_12.00beta_200bins100000_seed2001.dat
VMC,Jastrow_realspace,12,12,2.0,,True,-16.204589826877037,0.00038302648358278733,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,2.4,12.0,True,-15.170128749999977,0.25136617681467427,-22.197868749999998,0.20515768245007315,7.027740000000017,0.1561211547510581,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_2.400U_12.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_2.400U_12.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,12,12,2.4,,True,-15.006320189863606,0.0005081937797936765,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
QMC,QMC,12,12,2.5,12.0,True,-14.952425000000003,0.21420827688008023,-21.867200000000004,0.15869928644102457,6.914775,0.16028996984070043,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/K_square_1D_12L_12N_PBC_2.500U_12.00beta_200bins1000_seed2001.dat | /Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/QMC/1D_L12_N12/V_square_1D_12L_12N_PBC_2.500U_12.00beta_200bins1000_seed2001.dat
VMC,Jastrow_realspace,12,12,2.5,,True,-14.719613375686327,0.0005060598455000024,,,,,/Users/wmallah/Documents/GitHub/Bose_Hubbard_VMC/VMCBoseHubbard/data/C/1D/L12_N12/jastrow_realspace/VMC_results.dat
