# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)
    0.000000     -2.400000000000E+01      1.967518195598E+00     -2.385244779468E-16      1.825231926650E+00     -4.440892098501E-15      2.133948913959E+00      1.931788062848E-13
    1.000000     -1.960722049130E+01      1.662974445137E+00      1.204147222760E-01      1.441482473164E+00      4.956803361363E-02      2.073866890840E+00      3.495573031113E-01
    2.000000     -1.620790669213E+01      1.554198344019E+00      1.571437175502E-01      1.310454105824E+00      6.817280838221E-02      2.012627216904E+00      4.267030814846E-01
    3.000000     -1.339022405933E+01      1.460984767985E+00      1.785244646334E-01      1.193574686040E+00      7.943544630374E-02      1.957070233259E+00      4.716602818862E-01
    4.000000     -1.105443187524E+01      1.351418320112E+00      1.988257065880E-01      1.036930388353E+00      9.351588194660E-02      1.890801611137E+00      5.013435395327E-01
    5.000000     -9.186542527505E+00      1.180568084959E+00      2.074630852111E-01      7.999152071406E-01      1.113618565360E-01      1.773499242670E+00      4.907971577611E-01
    6.000000     -7.768148475731E+00      9.519020156775E-01      1.816180585362E-01      5.520803790524E-01      1.141151455078E-01      1.589425557502E+00      4.207390930198E-01
    7.000000     -6.708917761691E+00      7.468047598166E-01      1.400606820241E-01      3.824860558797E-01      9.778821377280E-02      1.394514012925E+00      3.316670027150E-01
    8.000000     -5.899843713733E+00      5.965480829217E-01      1.055636072371E-01      2.799456464668E-01      7.787123585128E-02      1.229866946776E+00      2.578600604250E-01
    9.000000     -5.263050023297E+00      4.889111592157E-01      8.115850574087E-02      2.150008988354E-01      6.166173484817E-02      1.098746405183E+00      2.036048155965E-01
   10.000000     -4.749034343067E+00      4.095050214122E-01      6.410753387293E-02      1.709936222336E-01      4.959696494014E-02      9.938270366589E-01      1.642280957560E-01
